  Revised: Saturday, September 18, 2021
          Revision: 







Design Name:  E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\SCHEMATIC\ADC.DSN

Export Placement        September 18,2021      16:47:18,Page1

Item,Reference,Part,SchematicName,Sheet,Library,X,Y
____________________________________________________________________________

1,AND8,CD4068BEE4,/adc,1,C:\USERS\COLLI\DOWNLOADS\CD4068BEE4.OLB, 6.00, 17.20
2,C1,32n,/adc,1,C:\CADENCE\SPB_17.4\TOOLS\CAPTURE\LIBRARY\PSPICE\ANALOG.OLB, 4.30, 5.20
3,C4,15p,/adc,1,C:\CADENCE\SPB_17.4\TOOLS\CAPTURE\LIBRARY\PSPICE\ANALOG.OLB, 7.60, 6.20
4,C5,10U,/adc,1,C:\CADENCE\SPB_17.4\TOOLS\CAPTURE\LIBRARY\PSPICE\ANALOG.OLB, 5.30, 1.40
5,C6,10U,/adc,1,C:\CADENCE\SPB_17.4\TOOLS\CAPTURE\LIBRARY\PSPICE\ANALOG.OLB, 4.40, 1.40
6,C7,10U,/adc,1,C:\CADENCE\SPB_17.4\TOOLS\CAPTURE\LIBRARY\PSPICE\ANALOG.OLB, 6.30, 1.40
7,IC10,CD4028BEE4,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\MODELS\CAPTURE\CD4028BEE4.OLB, 18.40, 15.40
8,IC11,CD4512BNSR,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\MODELS\CAPTURE\CD4512BNSR.OLB, 19.70, 3.10
9,IC12,CD4512BNSR,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\MODELS\CAPTURE\CD4512BNSR.OLB, 19.70, 4.70
10,IC13,CD4512BNSR,/adc,1,E:\LOCAL\COLLEGE\CLASSES\2021BF\ECEN4013\ECEN4013\ADC\PSPICE\MODELS\CAPTURE\CD4512BNSR.OLB, 19.70, 6.20
11,J1,8 HEADER,/adc,1,C:\CADENCE\SPB_17.4\TOOLS\CAPTURE\LIBRARY\CONNECTOR.OLB, 11.10, 16.70
12,J2,8 HEADER,/adc,1,C:\CADENCE\SPB_17.4\TOOLS\CAPTURE\LIBRARY\CONNECTOR.OLB, 1.80, 0.80
13,OUTPUTBUFF1,CD4076BM,/adc,1,C:\USERS\COLLI\DOWNLOADS\CD4076BM.OLB, 7.80, 13.50
14,OUTPUTBUFF2,CD4076BM,/adc,1,C:\USERS\COLLI\DOWNLOADS\CD4076BM.OLB, 7.80, 15.60
15,R1,100k,/adc,1,C:\CADENCE\SPB_17.4\TOOLS\CAPTURE\LIBRARY\PSPICE\ANALOG.OLB, 3.40, 5.80
16,R3,1K,/adc,1,C:\CADENCE\SPB_17.4\TOOLS\CAPTURE\LIBRARY\PSPICE\ANALOG.OLB, 7.60, 5.60
17,R4,1K,/adc,1,C:\CADENCE\SPB_17.4\TOOLS\CAPTURE\LIBRARY\PSPICE\ANALOG.OLB, 5.10, 5.40
